signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason,is_maker
2021-02-20,2021-02-21,BNB-USDT,buy,0.5098516156973469,2738.7433161466674,1.3963527047176882,2.73600730883783,positive,TrendBreakout,signal,False
2021-02-21,2021-02-22,ETH-USDT,buy,0.6273550665776454,2720.169574062273,1.7065121642383227,2.717452121940333,positive,TrendBreakout,signal,False
2021-03-04,2021-03-05,SOL-USDT,buy,0.7271214451027108,2740.1698407100216,1.992436254403936,2.73743240830172,positive,TrendBreakout,signal,False
2021-03-07,2021-03-08,BTC-USDT,buy,0.14531211934115953,12787.59035349802,1.8581918555333647,12.77481553796006,positive,TrendBreakout,signal,False
2021-05-09,2021-05-10,SOL-USDT,sell,0.7271214451027108,3747.449658986551,2.7248510114919617,3.7512008598463975,negative,TrendBreakout,Breakout Exit (Below Low10),False
2021-05-11,2021-05-12,BTC-USDT,sell,0.14531211934115953,16252.281089990673,2.361653409314795,16.268549639630304,negative,TrendBreakout,Breakout Exit (Below Low10),False
2021-05-16,2021-05-17,BNB-USDT,sell,0.5098516156973469,4022.8526993934765,2.051057948498198,4.026879578972449,negative,Router,StateSwitch,False
2021-05-18,2021-05-19,ETH-USDT,sell,0.6273550665776454,3744.734882854503,2.349278401748818,3.7484833662207238,negative,TrendBreakout,Breakout Exit (Below Low10),False
2021-05-20,2021-05-21,BNB-USDT,buy,0.5833000212496917,3932.9254596751202,2.2940755042019516,3.9289964632119085,positive,TrendUp,signal,False
2021-05-21,2021-05-22,BNB-USDT,sell,0.5833000212496917,3937.962611633298,2.2970136750461942,3.9419045161494473,negative,Router,StateSwitch,False
2021-07-03,2021-07-04,ETH-USDT,short,0.6596618887172874,3429.6121220174196,1.1311922049888574,3.4330451671846043,negative,TrendDown,signal,True
2021-07-04,2021-07-05,SOL-USDT,short,0.6600536880763246,3216.4184956489194,2.123008890449973,3.219638133782702,negative,TrendDown,signal,False
2021-07-05,2021-07-06,ETH-USDT,cover,0.6596618887172874,3502.906143024055,2.310733682306637,3.4994067362877677,positive,TrendDown,Close above SMA30,False
2021-07-06,2021-07-07,SOL-USDT,cover,0.6600536880763246,3276.230503129438,2.1624880265787385,3.272957545583855,positive,TrendDown,Close above SMA30,False
2021-07-06,2021-07-07,BNB-USDT,buy,0.5759389636788262,4131.986100146469,2.379771792453672,4.127858241904565,positive,TrendUp,signal,False
2021-07-08,2021-07-09,BNB-USDT,sell,0.5759389636788262,4058.6785122994024,2.3375510962792383,4.0627412535529555,negative,TrendUp,Close below SMA30,False
2021-07-31,2021-08-08,ETH-USDT,buy,0.5892631909580069,3537.141892033303,1.042153759085393,3.5336082837495537,positive,TrendUp,signal,True
2021-08-08,2021-08-09,ETH-USDT,sell,0.5892631909580069,3521.443881733134,2.075057258529617,3.5249688505837176,negative,TrendUp,Close below SMA30,False
2021-08-09,2021-08-10,BTC-USDT,buy,0.06501036996373931,20201.973317728945,1.3133377593831488,20.181791526202748,positive,TrendBreakout,signal,False
2021-08-09,2021-08-10,ETH-USDT,buy,0.6388017705055402,3536.5853686159526,2.259176995015859,3.533052316299653,positive,TrendUp,signal,False
2021-08-10,2021-08-11,ETH-USDT,sell,0.6388017705055402,3459.5686613479543,2.209978586054555,3.4630316930409952,negative,Router,StateSwitch,False
2021-08-12,2021-08-13,BTC-USDT,sell,0.06501036996373931,19692.09021074506,1.2801900699598654,19.71180201275782,negative,TrendBreakout,Breakout Exit (Below Low10),False
2021-09-02,2021-09-03,BNB-USDT,buy,0.5788592929085067,3847.473278442725,2.2271456614437297,3.843629648793932,positive,TrendUp,signal,False
2021-09-01,2021-09-09,SOL-USDT,buy,0.7637035756811776,2903.5660887151066,2.217463804178338,2.900665423291815,positive,TrendUp,signal,False
2021-09-08,2021-09-09,SOL-USDT,buy,0.8310711861296585,2903.5660887151066,2.413070113354317,2.900665423291815,positive,TrendUp,signal,False
2021-09-09,2021-09-10,BNB-USDT,sell,0.5788592929085067,3880.3094664223263,2.2461531939994126,3.884193660082409,negative,TrendUp,Close below SMA30,False
2021-09-10,2021-09-11,SOL-USDT,sell,1.594774761810836,2815.2825554448996,4.489741566789841,2.8181006561010005,negative,TrendUp,Close below SMA30,False
2021-09-10,2021-09-12,BNB-USDT,buy,0.6163256958084823,3859.7471991064162,2.378861378134103,3.8558913077986183,positive,TrendUp,signal,False
2021-09-12,2021-09-13,BNB-USDT,sell,0.6163256958084823,3920.56429525837,2.4163445172370066,3.924488784042412,negative,TrendUp,Close below SMA30,False
2021-08-30,2021-09-19,BNB-USDT,buy,0.6017162714117312,3825.2281851997786,1.150851020448737,3.8214067784213577,positive,TrendUp,signal,True
2021-09-19,2021-09-20,BNB-USDT,sell,0.6017162714117312,3935.30704618775,2.3679382826924065,3.9392462924802305,negative,Router,StateSwitch,False
