signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason,is_maker
2025-06-20,2025-06-22,BTC-USDT,buy,0.011469355825032909,15998.650855696498,0.18349421938445037,0.0,positive,TrendUp,signal,False
2025-06-21,2025-06-22,BTC-USDT,buy,0.011577139979699402,15998.650855696498,0.185218620442736,0.0,positive,TrendUp,signal,False
2025-06-22,2025-06-23,BTC-USDT,sell,0.02304649580473231,16722.59270735927,0.3853971626744025,0.0,negative,TrendUp,Close below SMA30,False
2025-06-24,2025-06-25,BTC-USDT,buy,0.011358506411748286,16253.032830931857,0.09230508881024745,0.0,positive,TrendUp,signal,True
2025-06-25,2025-06-26,BTC-USDT,sell,0.011358506411748286,16551.258764898907,0.18799757880360923,0.0,negative,TrendUp,Close below SMA30,False
2025-07-16,2025-07-17,BTC-USDT,short,0.01242974579579525,16355.083864898463,0.20328953490960042,0.0,negative,TrendDown,signal,False
2025-07-17,2025-07-18,BTC-USDT,cover,0.01242974579579525,15949.396077278308,0.1982469388370233,0.0,positive,TrendDown,Close above SMA30,False
2025-07-18,2025-07-19,BTC-USDT,short,0.012134349820158638,16255.235796844046,0.1972467175680708,0.0,negative,TrendDown,signal,False
2025-07-19,2025-07-20,BTC-USDT,cover,0.012134349820158638,16687.39427905602,0.20249067976897975,0.0,positive,TrendDown,Close above SMA30,False
2025-07-31,2025-08-01,ETH-USDT,short,0.057119370406124,3275.6060884923745,0.18710055747315094,0.0,negative,TrendDown,signal,False
2025-08-02,2025-08-03,ETH-USDT,cover,0.057119370406124,3337.1822533971917,0.19061774924453775,0.0,positive,TrendDown,Close above SMA30,False
2025-07-14,2025-08-04,ETH-USDT,short,0.05704064089394147,3428.11057452492,0.09777081211309968,0.0,negative,TrendDown,signal,True
2025-08-04,2025-08-05,ETH-USDT,cover,0.05704064089394147,3394.133789519934,0.1936035666339993,0.0,positive,Router,StateSwitch,False
2025-08-28,2025-09-05,ETH-USDT,buy,0.05108887990384451,3362.188172228397,0.08588521387255153,0.0,positive,TrendUp,signal,True
2025-09-05,2025-09-06,ETH-USDT,sell,0.05108887990384451,3336.048944748613,0.1704350038916091,0.0,negative,TrendUp,Close below SMA30,False
2025-09-06,2025-09-07,ETH-USDT,buy,0.052177274679749135,3364.324414695188,0.17554127909733705,0.0,positive,TrendUp,signal,False
2025-08-27,2025-09-08,ETH-USDT,buy,0.050577868833389154,3260.0315908386924,0.16488545019414438,0.0,positive,TrendUp,signal,False
2025-09-07,2025-09-08,ETH-USDT,sell,0.052177274679749135,3260.0315908386924,0.17009956377985,0.0,negative,Router,StateSwitch,False
2025-09-15,2025-09-16,ETH-USDT,sell,0.050577868833389154,3357.431361799268,0.1698117230341905,0.0,negative,Router,StateSwitch,False
2025-09-26,2025-09-27,BTC-USDT,buy,0.00997068120224412,19735.814429452585,0.09838975697136057,0.0,positive,TrendUp,signal,True
2025-09-29,2025-09-30,BTC-USDT,sell,0.00997068120224412,20418.772039277268,0.2035890665449297,0.0,negative,TrendUp,Close below SMA30,False
2025-10-18,2025-10-19,BTC-USDT,short,0.00956037321691675,19732.03445746482,0.1886456137424251,0.0,negative,TrendDown,signal,False
2025-10-19,2025-10-20,BTC-USDT,cover,0.00956037321691675,19418.13207185066,0.18564458978227324,0.0,positive,TrendDown,Close above SMA30,False
