signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason,is_maker
2023-02-20,2023-02-21,ETH-USDT,buy,0.42585873356276577,2690.377773598916,1.1457208714702478,2.687690083515401,positive,TrendBreakout,signal,False
2023-02-21,2023-02-22,SOL-USDT,buy,0.5801755776430493,2714.384236033442,1.5748194420858892,2.7116725634699725,positive,TrendBreakout,signal,False
2023-02-24,2023-02-25,BTC-USDT,buy,0.15498073423231695,12082.022050776462,1.87248064844038,12.069952098677787,positive,TrendBreakout,signal,False
2023-03-20,2023-03-21,BNB-USDT,buy,0.741954275428232,2820.776878041267,2.092887464691819,2.8179589191221455,positive,TrendBreakout,signal,False
2023-04-14,2023-04-15,ETH-USDT,sell,0.42585873356276577,3157.756281865049,1.3447580910949177,3.160917199064113,negative,Router,StateSwitch,False
2023-05-02,2023-05-03,ETH-USDT,buy,0.656684765013802,3302.454492094313,2.168671552109729,3.299155336757556,positive,TrendBreakout,signal,False
2023-05-06,2023-05-07,ETH-USDT,sell,0.656684765013802,3310.6260683643604,2.1740377017524173,3.3139400083727333,negative,Router,StateSwitch,False
2023-05-16,2023-05-17,ETH-USDT,buy,0.4989586154635322,3542.306431190807,1.767464312454531,3.5387676635272802,positive,TrendBreakout,signal,False
2023-06-10,2023-06-11,ETH-USDT,sell,0.4989586154635322,3752.9157613723282,1.8725496522456047,3.7566724338061346,negative,Router,StateSwitch,False
2023-06-22,2023-06-23,SOL-USDT,sell,0.5801755776430493,5048.293902874155,2.9288968312118966,5.05334725012428,negative,TrendBreakout,Breakout Exit (Below Low10),False
2023-07-22,2023-07-23,SOL-USDT,buy,0.2718339096067931,5822.049154526459,1.5826303835978515,5.816232921604855,positive,TrendBreakout,signal,False
2023-07-24,2023-07-25,ETH-USDT,buy,0.5830211266644721,4231.320821129434,2.466949432413722,4.227093727402033,positive,TrendBreakout,signal,False
2023-10-16,2023-10-17,SOL-USDT,sell,0.2718339096067931,9395.537173475936,2.5540256027219215,9.404942115591528,negative,TrendBreakout,Breakout Exit (Below Low10),False
2023-10-22,2023-10-23,SOL-USDT,buy,0.3781981573321277,10347.30752354235,3.913332638752578,10.336970552989362,positive,TrendBreakout,signal,False
2023-11-16,2023-11-17,SOL-USDT,sell,0.3781981573321277,10867.038902893752,4.109894088730964,10.877916819713466,negative,TrendBreakout,Breakout Exit (Below Low10),False
2023-11-21,2023-11-22,SOL-USDT,buy,0.34057692740046425,11552.442444908189,3.9344953518575383,11.540901543364825,positive,TrendBreakout,signal,False
2024-01-26,2024-01-27,SOL-USDT,sell,0.34057692740046425,13567.274619300117,4.620700703039537,13.580855474774891,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-01-30,2024-01-31,ETH-USDT,sell,0.5830211266644721,11052.550145035313,6.443870238074063,11.063613758794107,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-02-03,2024-02-04,BNB-USDT,sell,0.741954275428232,12509.647254280702,9.28158626441261,12.522169423704407,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-02-10,2024-02-11,ETH-USDT,buy,0.29138197623914125,11608.651749026138,3.3825518881031993,11.597054694331808,positive,TrendBreakout,signal,False
2024-02-11,2024-02-12,BTC-USDT,sell,0.15498073423231695,73032.87672887498,11.318688858539339,73.10598271158656,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-02-20,2024-02-21,ETH-USDT,sell,0.29138197623914125,11094.71128916441,3.2327989012394367,11.105817106270681,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-02-25,2024-02-26,BTC-USDT,buy,0.03523194844447778,82512.25710585566,2.907067588391002,82.4298272785771,positive,TrendBreakout,signal,False
2024-02-28,2024-02-29,BNB-USDT,short,0.5547632172572962,11946.7801676387,3.313817100832453,11.958738906545246,negative,TrendDown,signal,True
2024-03-04,2024-03-05,BNB-USDT,cover,0.5547632172572962,11871.331174483137,6.585777875483101,11.859471702780358,positive,TrendDown,Close above SMA30,False
2024-03-05,2024-03-06,BNB-USDT,short,0.5564842472072167,12191.997212421456,6.784654390706838,12.204201413835293,negative,TrendDown,signal,False
2024-03-07,2024-03-08,BTC-USDT,sell,0.03523194844447778,80708.61064665453,2.843521609328363,80.78940004670125,negative,TrendBreakout,Breakout Exit (Below Low10),False
2024-03-07,2024-03-08,BNB-USDT,cover,0.5564842472072167,11870.375985151106,6.605677244163437,11.858517467683424,positive,TrendDown,Close above SMA30,False
2024-03-10,2024-03-11,ETH-USDT,buy,0.5671629139307812,11515.73117864166,6.531295651321954,11.50422695168997,positive,TrendUp,signal,False
2024-03-12,2024-03-13,ETH-USDT,sell,0.5671629139307812,11094.176565158,6.292205508357597,11.105281847005006,negative,TrendUp,Close below SMA30,False
2024-03-21,2024-03-22,BNB-USDT,buy,0.5540894729520455,11258.68991324925,6.238321560162788,11.247442470778473,positive,TrendUp,signal,False
2024-03-23,2024-03-24,BNB-USDT,sell,0.5540894729520455,10641.949464343144,5.896592169880196,10.652602066409555,negative,TrendUp,Close below SMA30,False
2024-03-25,2024-03-30,SOL-USDT,buy,0.44333623884730083,13415.775286098313,2.973849678279699,13.402372913185129,positive,TrendUp,signal,True
2024-03-30,2024-03-31,SOL-USDT,sell,0.44333623884730083,13123.514183449483,5.8181294185497,13.136650834283767,negative,TrendUp,Close below SMA30,False
2024-04-10,2024-04-11,ETH-USDT,short,0.5859613104583109,10686.290380262151,6.261752715156452,10.69698736762978,negative,TrendDown,signal,False
2024-04-08,2024-04-12,SOL-USDT,short,0.46073579552020044,13477.67850379544,3.1048244636058486,13.491169673468908,negative,TrendDown,signal,True
2024-04-13,2024-04-14,ETH-USDT,cover,0.5859613104583109,10669.978028785888,6.2521943083087645,10.659318710075814,positive,TrendDown,Close above SMA30,False
2024-04-14,2024-04-15,SOL-USDT,cover,0.46073579552020044,13765.589361046628,6.342299765066226,13.751837523523108,positive,TrendDown,Close above SMA30,False
2024-04-27,2024-04-28,BNB-USDT,short,0.6648277039000038,10143.174385608478,6.743463337041416,10.1533277133218,negative,TrendDown,signal,False
2024-04-29,2024-04-30,BNB-USDT,cover,0.6648277039000038,10557.918510038051,7.019196720991947,10.547371138899152,positive,TrendDown,Close above SMA30,False
